year,nid,first_name,last_name,gender,job_title,employer,usable_name,ratio
2007,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2007,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2007,7488,Amanda,Bennett,F,executive editor/Enterprise,Bloomberg News,Amanda,100
2007,7489,Joann,Byrd,F,former editor editorial page,Seattle Post-Intelligencer,Joann,100
2007,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2007,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2007,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2007,7493,Donald E.,Graham,M,chairman,The Washington Post,Donald,100
2007,7494,Anders,Gyllenhaal,M,editor and senior vice president,Star Tribune,Anders,100
2007,7495,Jay T.,Harris,M,"Wallis Annenberg Chair, Director, Center for the Study of Journalism and Democracy, Annenberg School of Communication",University of Southern California,Jay,99
2007,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2007,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2007,7498,Ann Marie,Lipinski,F,senior vice president and editor, Chicago Tribune,Ann,100
2007,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2007,7500,Richard,Oppel,M,editor,Austin American-Statesman,Richard,100
2007,7501,Mike,Pride,M,editor,Concord Monitor,Mike,100
2007,7503,Paul C.,Tash,M,"editor, chairman and CEO",The St. Petersburg Times,Paul,100
2007,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2007,13865,Paul,Steiger,M,managing editor,The Wall Street Journal,Paul,100
2008,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2008,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2008,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2008,7488,Amanda,Bennett,F,executive editor/Enterprise,Bloomberg News,Amanda,100
2008,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2008,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2008,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2008,7493,Donald E.,Graham,M,chairman,The Washington Post,Donald,100
2008,7495,Jay T.,Harris,M,"Wallis Annenberg Chair, Director, Center for the Study of Journalism and Democracy, Annenberg School of Communication",University of Southern California,Jay,99
2008,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2008,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2008,7498,Ann Marie,Lipinski,F,senior vice president and editor, Chicago Tribune,Ann,100
2008,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2008,7500,Richard,Oppel,M,editor,Austin American-Statesman,Richard,100
2008,7503,Paul C.,Tash,M,"editor, chairman and CEO",The St. Petersburg Times,Paul,100
2008,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2008,7538,Anders,Gyllenhaal,M,executive editor,The Miami Herald,Anders,100
2008,13884,Mike,Pride,M,editor,Concord Monitor,Mike,100
2008,13890,Joann,Byrd,F,"former editor, editorial page",Seattle Post-Intelligencer,Joann,100
2009,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2009,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2009,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2009,7488,Amanda,Bennett,F,executive editor/Enterprise,Bloomberg News,Amanda,100
2009,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2009,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2009,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2009,7495,Jay T.,Harris,M,"Wallis Annenberg Chair, Director, Center for the Study of Journalism and Democracy, Annenberg School of Communication",University of Southern California,Jay,99
2009,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2009,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2009,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2009,7503,Paul C.,Tash,M,"editor, chairman and CEO",The St. Petersburg Times,Paul,100
2009,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2009,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2009,7534,Ann Marie,Lipinski,F,vice president for civic engagement,The University of Chicago,Ann,100
2009,7535,Richard,Oppel,M,former editor,Austin American-Statesman,Richard,100
2009,7538,Anders,Gyllenhaal,M,executive editor,The Miami Herald,Anders,100
2009,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2009,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2010,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2010,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2010,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2010,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2010,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2010,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2010,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2010,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2010,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2010,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2010,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2010,7534,Ann Marie,Lipinski,F,vice president for civic engagement,The University of Chicago,Ann,100
2010,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2010,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2010,7696,Jim,VandeHei,M,executive editor and co-founder,Politico,Jim,99
2010,7697,Amanda,Bennett,F,executive editor/projects and investigations,Bloomberg News,Amanda,100
2010,7698,Paul C.,Tash,M,chairman and CEO,St. Petersburg Times,Paul,100
2010,13829,Anders,Gyllenhaal,M,executive editor,The Miami Herald,Anders,100
2011,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2011,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2011,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2011,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2011,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2011,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2011,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2011,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2011,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2011,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2011,7534,Ann Marie,Lipinski,F,vice president for civic engagement,The University of Chicago,Ann,100
2011,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2011,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2011,7696,Jim,VandeHei,M,executive editor and co-founder,Politico,Jim,99
2011,7698,Paul C.,Tash,M,chairman and CEO,St. Petersburg Times,Paul,100
2011,7699,Eugene,Robinson,M,columnist and associate editor,The Washington Post,Eugene,99
2011,7700,Junot,Díaz,NA,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,Junot,
2011,13885,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2012,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2012,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2012,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2012,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2012,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2012,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2012,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2012,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2012,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2012,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2012,7696,Jim,VandeHei,M,executive editor and co-founder,Politico,Jim,99
2012,7699,Eugene,Robinson,M,columnist and associate editor,The Washington Post,Eugene,99
2012,7700,Junot,Díaz,NA,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,Junot,
2012,7701,Ann Marie,Lipinski,F,"curator, The Nieman Foundation",Harvard University,Ann,100
2012,7702,Robert,Blau,M,managing editor for projects and investigations,Bloomberg News,Robert,100
2012,7703,Steven,Hahn,M,Roy F. and Jeanette P. Nichols Professor of History,University of Pennsylvania,Steven,100
2012,7704,Paul,Tash,M,chairman and CEO,Tampa Bay Times,Paul,100
2012,7705,Margaret,Sullivan,F,editor,The Buffalo News,Margaret,100
2012,13826,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2012,13866,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2013,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2013,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2013,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
